model,outcome,weight_col,term,estimate,std_error_cluster,t_stat,p_value,ci_low,ci_high,n_rows,n_clusters
closure_only_institute_fe,mean_embedding_score,orientation_docs,year_centered,0.0006208097049621186,0.004608775226847003,0.1347016667998436,0.8993538303458146,-0.008412389739658008,0.009654009149582244,120,5
closure_only_institute_fe,mean_embedding_score,orientation_docs,institute[center_for_east_asian_studies],0.09495728045058091,0.013465962519723922,7.0516519195337635,0.0021325310031963095,0.06856399391192203,0.1213505669892398,120,5
closure_only_institute_fe,mean_embedding_score,orientation_docs,institute[china_studies_program],0.1936519800130428,0.0033963830863994546,57.01711941403392,5.665524030980908e-07,0.18699506916369985,0.20030889086238574,120,5
closure_only_institute_fe,mean_embedding_score,orientation_docs,institute[sigur_center_for_asian_studies],0.12240188036635144,0.016677755672546993,7.339229736278927,0.0018349415016811435,0.08971347924815934,0.15509028148454354,120,5
closure_only_institute_fe,mean_embedding_score,orientation_docs,institute[weatherhead_east_asian_institute],0.16103400095435794,0.017428337543830535,9.239779786762417,0.0007626588257598086,0.1268744593684501,0.19519354254026577,120,5
closure_only_institute_fe,sensitive_curated_share,total_docs,Intercept,-0.002733532968191484,0.008966662460566181,-0.30485512086722183,0.7756801925019832,-0.020308191390901197,0.01484112545451823,129,5
closure_only_institute_fe,sensitive_curated_share,total_docs,post_ci_closure,0.028299496996590217,0.021901353130489205,1.29213463789112,0.2659068719501869,-0.01462715513916862,0.07122614913234905,129,5
closure_only_institute_fe,sensitive_curated_share,total_docs,years_since_ci_closure,0.0036709702149335883,0.005653749291711809,0.6492983727303043,0.551544542614766,-0.007410378396821556,0.014752318826688732,129,5
closure_only_institute_fe,sensitive_curated_share,total_docs,year_centered,-0.0017849463184971062,0.0020292566424855813,-0.8796060001118311,0.42874374065195225,-0.005762289337768845,0.002192396700774633,129,5
closure_only_institute_fe,sensitive_curated_share,total_docs,institute[center_for_east_asian_studies],-0.013558539968397008,0.015814015864446383,-0.8573748809042102,0.439569608323932,-0.044554011062711917,0.017436931125917904,129,5
closure_only_institute_fe,sensitive_curated_share,total_docs,institute[china_studies_program],0.02596796347407848,0.001534343852100342,16.924474548864193,7.145778636980047e-05,0.02296064952396181,0.028975277424195152,129,5
closure_only_institute_fe,sensitive_curated_share,total_docs,institute[sigur_center_for_asian_studies],0.013084473848279748,0.0033483761796730517,3.9077072426065835,0.01742755007249714,0.006521656536120566,0.01964729116043893,129,5
closure_only_institute_fe,sensitive_curated_share,total_docs,institute[weatherhead_east_asian_institute],0.07083292282176902,0.003990399220280004,17.750836172426556,5.917560309873924e-05,0.06301174035002022,0.07865410529351782,129,5
